,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1387,104,1,2/21/20,2/28/20,"6,857,808",BTS,37151476,3r9FFjLrAIQjoR8pSHVPC9,"['k-pop', 'k-pop boy group']",pop,-3.106,0.0958,0.0121,0.0993,116.988,196199,0.473,C
1388,109,1,2/21/20,2/28/20,"6,655,856",BTS,37151476,2Nib4r0saYQf2pUV4RFDhl,"['k-pop', 'k-pop boy group']",pop,-6.439,0.483,0.115,0.181,149.756,259821,0.141,A
1389,120,1,2/21/20,2/28/20,"6,373,954",BTS,37151476,37TSJmYKLxXmx8OehFpqMN,"['k-pop', 'k-pop boy group']",pop,-4.805,0.116,0.00485,0.287,91.457,237540,0.524,C
1390,154,4,2/21/20,2/28/20,"5,510,844","Thiaguinho MT, Mila, JS o Mão de Ouro",28017,4HUZBG98TYbxSR9V1V2DWS,"['brega funk', 'funk carioca']",funk,-6.164,0.0942,0.239,0.306,79.976,178500,0.963,B
1391,128,9,1/10/20,1/17/20,"5,135,469","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid",206225,0RDgqtvOHLwcI6yz9bjsZV,"['latin', 'reggaeton', 'trap latino']",latin,-4.188,0.29,0.268,0.367,174.013,218587,0.724,C#/Db
1392,129,3,2/7/20,2/14/20,"5,118,004",Eminem,46814751,5Z01UMMf7V1o0MzF86s6WJ,"['detroit hip hop', 'hip hop', 'rap']",hip hop,-4.565,0.257,0.00868,0.359,171.374,326467,0.0612,D
1393,118,8,1/24/20,1/31/20,"5,074,485",Billie Eilish,47061119,6IRdLKIyS4p7XNiP8r6rsx,"['electropop', 'pop']",pop,-8.922,0.372,0.283,0.177,185.044,168840,0.569,G#/Ab
1394,155,4,12/27/19,1/3/20,"5,013,019","PEDRO SAMPAIO, Felipe Original, JS o Mão de Ouro",1050520,4lKuzrdZrJuCAedbIslF3A,['funk carioca'],funk,-1.94,0.0589,0.178,0.223,173.997,143448,0.924,F#/Gb
1395,182,1,2/21/20,2/28/20,"4,994,448",K CAMP,1347589,4dZTZbmJBCCofAExHwefda,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",hip hop,-8.601,0.216,0.0145,0.0733,148.964,170947,0.67,C#/Db
1396,104,9,1/3/20,1/10/20,"4,954,292","Sech, Ozuna",8766508,6Y4PDQv4XjYjHLeLmvyOt0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",latin,-4.124,0.132,0.0933,0.143,174.101,204907,0.554,C
1397,121,8,12/27/19,1/3/20,"4,950,254","Major Lazer, Diplo",6223652,3iQGDAAKMrlJarnaYNgnSE,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap']",pop,-6.043,0.068,0.00477,0.0726,125.982,206811,0.546,G#/Ab
1398,186,1,2/21/20,2/28/20,"4,938,864",Ufo361,1700759,2QfmSvSMwTXcvlIkU0w1Yk,"['german cloud rap', 'german hip hop']",rap,-4.796,0.292,0.0842,0.123,141.937,204319,0.232,E
1401,196,1,2/21/20,2/28/20,"4,851,895","Dalex, Sech",3600989,6C1jKbkCUgFws7M0M4oGCB,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",latin,-4.501,0.18,0.185,0.103,175.396,201361,0.19,D
1402,57,1,2/14/20,2/21/20,"9,652,399","Migos, Travis Scott, Young Thug",11692972,6ZelF5APDN5r6XnFqcnvWR,"['atl hip hop', 'pop rap', 'rap', 'trap']",hip hop,-5.608,0.222,0.0303,0.0923,145.976,224243,0.236,C#/Db
1403,61,1,2/14/20,2/21/20,"9,533,583",Justin Bieber,48544923,2o9LAypwGH4ctV0i9boo6d,"['canadian pop', 'pop', 'post-teen pop']",pop,-8.389,0.0378,0.263,0.0971,157.941,200773,0.767,D
1404,64,1,2/14/20,2/21/20,"9,120,086",Justin Bieber,48544923,40qyPyljksBEqlNw5sW37T,"['canadian pop', 'pop', 'post-teen pop']",pop,-6.625,0.0439,0.52,0.0749,138.999,168200,0.63,E
1405,65,1,2/14/20,2/21/20,"9,010,535",Justin Bieber,48544923,5Py8zRKGkZvgHniVVtvNCN,"['canadian pop', 'pop', 'post-teen pop']",pop,-7.564,0.0367,0.809,0.212,117.127,136907,0.692,C
1406,72,1,2/14/20,2/21/20,"8,362,828",Justin Bieber,48544923,5VwwpU7KsLhgfbMEecedhJ,"['canadian pop', 'pop', 'post-teen pop']",pop,-6.913,0.149,0.0492,0.107,109.352,185427,0.75,F#/Gb
1407,79,1,2/14/20,2/21/20,"8,109,572",Justin Bieber,48544923,1PnAx788sAvcI3ZxTlEyX8,"['canadian pop', 'pop', 'post-teen pop']",pop,-6.112,0.0567,0.0276,0.095,141.97,202720,0.96,B
1408,85,1,2/14/20,2/21/20,"7,493,188",Justin Bieber,48544923,75nKBP8jQu681pTNCtrEnn,"['canadian pop', 'pop', 'post-teen pop']",pop,-7.319,0.0591,0.438,0.0869,149.982,179627,0.977,B
1409,86,1,2/14/20,2/21/20,"7,473,249",Justin Bieber,48544923,1b6tPXXCV2fSNtR3SKWUQA,"['canadian pop', 'pop', 'post-teen pop']",pop,-6.843,0.0359,0.0736,0.129,75.012,195333,0.597,D#/Eb
1411,103,1,2/14/20,2/21/20,"6,865,229",Justin Bieber,48544923,521Os1SMlxmsoevsqyjNmJ,"['canadian pop', 'pop', 'post-teen pop']",pop,-7.766,0.042,0.738,0.12,64.062,135493,0.612,A
1412,116,1,2/14/20,2/21/20,"6,520,106",Justin Bieber,48544923,60brXKLTC15vK0av5gIldm,"['canadian pop', 'pop', 'post-teen pop']",pop,-8.186,0.0375,0.608,0.151,190.064,170587,0.449,G#/Ab
1413,122,1,2/14/20,2/21/20,"6,341,141",Luciano,942380,7Ek9e3eIuktIFjpDRQfmHE,"['german drill', 'german hip hop']",hip hop,-7.353,0.0467,0.111,0.217,145.012,232147,0.404,A
